,戏曲,战争,Game-Show,惊悚,爱情,运动,悬疑,冒险,Reality-TV,真人秀,记录,西部,剧情,荒诞,动画,歌舞,紀錄片 Documentary,古装,脱口秀,同性,动作,武侠,Talk-Show,奇幻,黑色电影,News,短片,喜剧,鬼怪,科幻,历史,情色,儿童,恐怖,舞台艺术,纪录片,家庭,灾难,犯罪,音乐,传记
156241272,0.0,0.08695652173913043,0.0,0.014492753623188406,0.3188405797101449,0.014492753623188406,0.08695652173913043,0.057971014492753624,0.0,0.028985507246376812,0.0,0.0,0.7391304347826086,0.0,0.043478260869565216,0.0,0.0,0.2463768115942029,0.014492753623188406,0.028985507246376812,0.07246376811594203,0.043478260869565216,0.0,0.11594202898550725,0.0,0.0,0.0,0.07246376811594203,0.014492753623188406,0.014492753623188406,0.11594202898550725,0.014492753623188406,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.07246376811594203,0.0,0.028985507246376812
47364324,0.0,0.04411764705882353,0.0,0.03676470588235294,0.10294117647058823,0.007352941176470588,0.058823529411764705,0.11029411764705882,0.0,0.007352941176470588,0.0,0.007352941176470588,0.4117647058823529,0.0,0.0661764705882353,0.014705882352941176,0.0,0.0,0.029411764705882353,0.007352941176470588,0.04411764705882353,0.0,0.0,0.08088235294117647,0.0,0.0,0.051470588235294115,0.14705882352941177,0.0,0.03676470588235294,0.09558823529411764,0.0,0.029411764705882353,0.007352941176470588,0.007352941176470588,0.34558823529411764,0.051470588235294115,0.0,0.07352941176470588,0.051470588235294115,0.03676470588235294
63295632,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
169290885,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0
82617505,0.0,0.045454545454545456,0.0,0.2159090909090909,0.10227272727272728,0.0,0.25,0.2159090909090909,0.0,0.0,0.0,0.0,0.8636363636363636,0.0,0.13636363636363635,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.045454545454545456,0.0,0.0,0.14772727272727273,0.0,0.0,0.022727272727272728,0.10227272727272728,0.0,0.14772727272727273,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.10227272727272728,0.0,0.20454545454545456,0.03409090909090909,0.056818181818181816
25562656,0.0,0.13636363636363635,0.0,0.13636363636363635,0.45454545454545453,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.6363636363636364,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.36363636363636365,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.13636363636363635,0.045454545454545456,0.13636363636363635
60069641,0.0,0.0,0.0,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40617140,0.0,0.064,0.0,0.072,0.216,0.0,0.064,0.128,0.0,0.0,0.0,0.008,0.616,0.0,0.208,0.016,0.0,0.04,0.008,0.032,0.08,0.008,0.0,0.144,0.0,0.0,0.056,0.272,0.0,0.08,0.04,0.0,0.008,0.008,0.0,0.072,0.072,0.0,0.08,0.048,0.056
jacinto,0.0,0.0,0.0,0.34959349593495936,0.13821138211382114,0.0,0.1951219512195122,0.06504065040650407,0.0,0.0,0.0,0.008130081300813009,0.6097560975609756,0.0,0.06504065040650407,0.008130081300813009,0.0,0.0,0.0,0.04065040650406504,0.16260162601626016,0.0,0.0,0.07317073170731707,0.008130081300813009,0.0,0.016260162601626018,0.2032520325203252,0.0,0.07317073170731707,0.016260162601626018,0.0,0.008130081300813009,0.12195121951219512,0.0,0.024390243902439025,0.024390243902439025,0.0,0.2682926829268293,0.032520325203252036,0.032520325203252036
49199057,0.0,0.07352941176470588,0.0,0.10294117647058823,0.3382352941176471,0.0,0.10294117647058823,0.17647058823529413,0.0,0.0,0.0,0.014705882352941176,0.5147058823529411,0.0,0.10294117647058823,0.014705882352941176,0.0,0.0,0.0,0.014705882352941176,0.2647058823529412,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.39705882352941174,0.0,0.08823529411764706,0.11764705882352941,0.0,0.0,0.04411764705882353,0.0,0.0,0.029411764705882353,0.07352941176470588,0.16176470588235295,0.0,0.029411764705882353
59690279,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55535667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77759205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70605767,0.0,0.022222222222222223,0.0,0.2222222222222222,0.3111111111111111,0.022222222222222223,0.13333333333333333,0.08888888888888889,0.0,0.0,0.0,0.0,0.6222222222222222,0.0,0.2222222222222222,0.022222222222222223,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.044444444444444446,0.3111111111111111,0.0,0.08888888888888889,0.022222222222222223,0.0,0.0,0.08888888888888889,0.0,0.0,0.044444444444444446,0.0,0.13333333333333333,0.06666666666666667,0.0
